rank,institution,count,percentage,country,region
355,University of Pittsburgh,1.583,0.029567382508558976,USA,USA
356,Beijing U. of Technology,1.583,0.029567382508558976,China,China (Mainland)
357,University of Arizona,1.567,0.029256146903205726,USA,USA
358,University of Liverpool,1.533,0.02863367569249922,UK,UK
359,"Z¨urich, Switzerland",1.5,0.028011204481792718,Other,Other / Unknown
360,York University,1.5,0.028011204481792718,Other,Other / Unknown
361,FPT Software AI Center,1.5,0.028011204481792718,Other,Other / Unknown
362,Hebei Normal University,1.5,0.028011204481792718,Other,Other / Unknown
363,"Santiago, Chile",1.5,0.028011204481792718,Other,Other / Unknown
364,Vrije Universiteit Brussel,1.5,0.028011204481792718,Belgium,Other Europe
365,Friedrich-Alexander-Universit¨at Erlangen-N¨urnberg,1.5,0.028011204481792718,Other,Other / Unknown
366,Houmo AI,1.5,0.028011204481792718,Other,Other / Unknown
367,Lenovo,1.5,0.028011204481792718,China,China (Mainland)
368,Stevens Institute of Technology,1.5,0.02801120448179271,USA,USA
369,Aalborg University,1.476,0.027566582188430923,Other,Other / Unknown
370,Hugging Face,1.468,0.0274109643857543,USA,USA
371,CASIA,1.45,0.02707749766573296,Other,Other / Unknown
372,Leiden University,1.45,0.02707749766573296,Other,Other / Unknown
373,Hunan University,1.426,0.026632875372371172,China,China (Mainland)
374,University of Southampton,1.417,0.026455026455026454,UK,UK
375,South China Normal University,1.417,0.026455026455026454,Other,Other / Unknown
376,University of Utah,1.367,0.025521319638966696,USA,USA
377,Idiap Research Institute,1.367,0.025521319638966696,Other,Other / Unknown
378,University of Bath,1.348,0.02518044254738933,UK,UK
379,Osaka University,1.333,0.02489884842826019,Japan,Japan
380,Kookmin University,1.333,0.02489884842826019,Other,Other / Unknown
381,"Kaiserslautern, Germany",1.333,0.02489884842826019,Other,Other / Unknown
382,AntGroup,1.333,0.02489884842826019,Other,Other / Unknown
383,Jinan University,1.333,0.02489884842826019,China,China (Mainland)
384,Pusan National University,1.333,0.02489884842826019,Other,Other / Unknown
385,University of Massachusetts,1.333,0.02489884842826019,Other,Other / Unknown
386,Max Planck Institute for Informatics,1.333,0.02489884842826019,Other,Other / Unknown
387,"Universit`a della Svizzera italiana, Switzerland",1.333,0.02489884842826019,Other,Other / Unknown
388,NEC Corporation,1.333,0.02489884842826019,Other,Other / Unknown
389,Department of Statistics,1.333,0.02489884842826019,Other,Other / Unknown
390,Ant International,1.333,0.02489884842826019,Other,Other / Unknown
391,Dongguk University-Seoul,1.333,0.02489884842826019,Other,Other / Unknown
392,University of Modena and Reggio Emilia,1.333,0.02489884842826019,Italy,Other Europe
393,Inha University,1.333,0.02489884842826019,Other,Other / Unknown
394,Reichman University,1.333,0.02489884842826019,Other,Other / Unknown
395,"LTCI, T´el´ecom Paris, Institut Polytechnique de Paris, France",1.333,0.02489884842826019,Other,Other / Unknown
396,Indiana University Bloomington,1.333,0.02489884842826019,Other,Other / Unknown
397,University of T¨ubingen,1.333,0.02489884842826019,Other,Other / Unknown
398,Shanxi University,1.333,0.02489884842826019,China,China (Mainland)
399,Beijing Innovation Center of Humanoid Robotics,1.283,0.02396514161220043,Other,Other / Unknown
400,Oracle,1.269,0.023698368236183362,USA,USA
401,University of Freiburg,1.25,0.02334267040149393,Other,Other / Unknown
402,"FusionBrain Lab, AXXX, Moscow, Russia",1.25,0.02334267040149393,Other,Other / Unknown
403,Emory University,1.249,0.02332865077963117,USA,USA
404,PKU,1.2,0.022408963585434174,Other,Other / Unknown
405,UW-Madison,1.2,0.022408963585434174,Other,Other / Unknown
406,SJTU,1.2,0.022408963585434174,Other,Other / Unknown
407,Fujitsu Research,1.167,0.02178649237472767,Other,Other / Unknown
408,Chang’an University,1.167,0.02178649237472767,Other,Other / Unknown
409,MATS,1.167,0.02178649237472767,Other,Other / Unknown
410,Florida State University,1.167,0.021786492374727667,Other,Other / Unknown
411,University of Tulsa,1.167,0.021786492374727667,USA,USA
412,Lawrence Livermore National Lab,1.143,0.021341870081365878,USA,USA
413,UK AI Security Institute,1.143,0.021341870081365878,Other,Other / Unknown
414,Guangdong Laboratory of Artificial Intelligence and Digital Economy (SZ),1.128,0.021060275962236752,Other,Other / Unknown
415,M-A-P,1.094,0.020421843951255715,Other,Other / Unknown
416,"Institute of Artificial Intelligence, Hefei Comprehensive National Science Center",1.083,0.020230314347961405,Other,Other / Unknown
417,Shanghai Academy of AI for Science,1.083,0.020230314347961405,China,China (Mainland)
418,Southwestern University of Finance and Economics,1.06,0.019785692054599617,Other,Other / Unknown
419,Together AI,1.033,0.019296607531901645,Other,Other / Unknown
420,JD.com,1.03,0.01924001924001924,China,China (Mainland)
421,Aithyra,1.01,0.01885198523853986,Austria,Other Europe
422,Guangzhou University,1.01,0.01885198523853986,China,China (Mainland)
423,"Institute for AI, BNRist Center",1.0,0.018674136321195144,Other,Other / Unknown
424,San Diego State University,1.0,0.018674136321195144,Other,Other / Unknown
425,"aHarvard School of Engineering and Applied Science, bKempner Institute for the Study of Natural & Artificial Intelligence, cHarvard Business School",1.0,0.018674136321195144,Other,Other / Unknown
426,"Applied AI Institute, Moscow, Russia, BRAIn Lab, Moscow, Russia, AI Foundation lab, Moscow, Russia",1.0,0.018674136321195144,Other,Other / Unknown
427,U. of Western Australia,1.0,0.018674136321195144,Australia,Australia & NZ
