rank,institution,count,percentage,country,region
151,Central South University,15,0.28005974607916356,China,China (Mainland)
152,Northwestern Polytechnical U.,15,0.28005974607916356,China,China (Mainland)
153,Rutgers University,15,0.28005974607916356,USA,USA
154,UNSW Sydney,15,0.28005974607916356,Australia,Australia & NZ
155,IST Austria,14,0.26138909634055263,Austria,Other Europe
156,Shanghai U. of Finance & Economics,14,0.26138909634055263,China,China (Mainland)
157,Shandong University,14,0.26138909634055263,China,China (Mainland)
158,Saarland University,14,0.26138909634055263,Germany,Germany
159,Baidu,14,0.26138909634055263,China,China (Mainland)
160,University of Alberta,14,0.26138909634055263,Canada,Canada
161,China Telecom,14,0.26138909634055263,China,China (Mainland)
162,UC Merced,14,0.26138909634055263,USA,USA
163,UMass Amherst,14,0.26138909634055263,USA,USA
164,UC Irvine,14,0.26138909634055263,USA,USA
165,Xiaohongshu,14,0.26138909634055263,China,China (Mainland)
166,UC Davis,14,0.26138909634055263,USA,USA
167,SUTD,13,0.24271844660194175,Singapore,Singapore
168,Flatiron Institute,13,0.24271844660194175,USA,USA
169,Department of Computer Science,13,0.24271844660194175,Other,Other / Unknown
170,CAS Institute of Computing Technology,13,0.24271844660194175,China,China (Mainland)
171,University of Macau,13,0.24271844660194175,China,China (Mainland)
172,Anthropic,13,0.24271844660194175,USA,USA
173,Independent,13,0.24271844660194175,Other,Other / Unknown
174,TU Delft,13,0.24271844660194175,Netherlands,Other Europe
175,Cisco,13,0.24271844660194175,USA,USA
176,Boston University,13,0.24271844660194175,USA,USA
177,NC State University,12,0.22404779686333084,USA,USA
178,Allen Institute for AI,12,0.22404779686333084,USA,USA
179,KTH Royal Institute of Technology,12,0.22404779686333084,Sweden,Other Europe
180,University of Notre Dame,12,0.22404779686333084,USA,USA
181,UTS Sydney,12,0.22404779686333084,Australia,Australia & NZ
182,Lambda,12,0.22404779686333084,USA,USA
183,École Polytechnique,12,0.22404779686333084,France,France
184,University of Manchester,12,0.22404779686333084,UK,UK
185,ELLIS Institute Tübingen,12,0.22404779686333084,Germany,Germany
186,National Taiwan University,12,0.22404779686333084,Taiwan,Taiwan
187,Qualcomm,12,0.22404779686333084,USA,USA
188,Xiaomi,12,0.22404779686333084,China,China (Mainland)
189,University of Trento,12,0.22404779686333084,Italy,Other Europe
190,Sichuan University,11,0.20537714712471994,China,China (Mainland)
191,University of Surrey,11,0.20537714712471994,UK,UK
192,Brown University,11,0.20537714712471994,USA,USA
193,StepFun,11,0.20537714712471994,China,China (Mainland)
194,Sony,11,0.20537714712471994,Japan,Japan
195,Bosch,11,0.20537714712471994,Germany,Germany
196,University of Tübingen,11,0.20537714712471994,Germany,Germany
197,OpenAI,11,0.20537714712471994,USA,USA
198,Shanghai University,11,0.20537714712471994,China,China (Mainland)
199,Beijing Normal University,11,0.20537714712471994,China,China (Mainland)
200,Dalian U. of Technology,11,0.20537714712471994,China,China (Mainland)
201,Simon Fraser University,11,0.20537714712471994,Canada,Canada
202,Innopolis University,10,0.18670649738610903,Russia,Other Europe
203,Great Bay University,10,0.18670649738610903,China,China (Mainland)
204,Australian National University,10,0.18670649738610903,Australia,Australia & NZ
205,CSIRO,10,0.18670649738610903,Australia,Australia & NZ
